sample_index,is_warmup,device_id,channel,note,velocity,native_t0_ns,rust_t1_ns,rust_t2_ns,flutter_t3_ns,native_to_rust_entry_ns,rust_processing_ns,rust_exit_to_flutter_ns,total_ns,engine_event_count
52,false,5,9,38,57,146358439106980,146358451683178,146358451696615,146358451726006,12576198,13437,29391,12619026,1
53,false,5,9,46,17,146358500353125,146358502005834,146358502023177,146358502052006,1652709,17343,28829,1698881,1
54,false,5,9,44,38,146358502698698,146358503885313,146358503891094,146358503905006,1186615,5781,13912,1206308,1
55,false,5,9,38,47,146358570125313,146358580525261,146358580542761,146358580586006,10399948,17500,43245,10460693,1
56,false,5,9,38,13,146358648928021,146358651722448,146358651732084,146358651751006,2794427,9636,18922,2822985,1
57,false,5,9,38,56,146358681561875,146358683628907,146358683637865,146358683654006,2067032,8958,16141,2092131,1
58,false,5,9,36,29,146358682022344,146358684383230,146358684387500,146358684399006,2360886,4270,11506,2376662,1
59,false,5,9,38,34,146358721735782,146358722569115,146358722578125,146358722594006,833333,9010,15881,858224,1
60,false,5,9,50,53,146358805475417,146358808513334,146358808523490,146358808542006,3037917,10156,18516,3066589,1
61,false,5,9,38,43,146358921171563,146358922981979,146358923000886,146358923034006,1810416,18907,33120,1862443,1
62,false,5,9,46,14,146358974862448,146358976524948,146358976533594,146358976552006,1662500,8646,18412,1689558,1
63,false,5,9,44,35,146358982842344,146358983541615,146358983547604,146358983561006,699271,5989,13402,718662,1
64,false,5,9,36,12,146359039893854,146359041061406,146359041068854,146359041084006,1167552,7448,15152,1190152,1
65,false,5,9,48,103,146359069574427,146359079422292,146359079429479,146359079445006,9847865,7187,15527,9870579,1
66,false,5,9,48,63,146359193362604,146359195698386,146359195705573,146359195718006,2335782,7187,12433,2355402,1
67,false,5,9,36,34,146359283346406,146359284631979,146359284646771,146359284664006,1285573,14792,17235,1317600,1
68,false,5,9,48,73,146359295718802,146359316942813,146359316951667,146359316972006,21224011,8854,20339,21253204,1
69,false,5,9,46,13,146359418778542,146359421659010,146359421668490,146359421687006,2880468,9480,18516,2908464,1
70,false,5,9,44,31,146359427896563,146359455042240,146359455057656,146359455082006,27145677,15416,24350,27185443,1
71,false,5,9,45,73,146359445374531,146359455843490,146359455848385,146359455861006,10468959,4895,12621,10486475,1
72,false,5,9,45,82,146359553125156,146359554390521,146359554402344,146359554421006,1265365,11823,18662,1295850,1
