sample_index,is_warmup,device_id,channel,note,velocity,native_t0_ns,rust_t1_ns,rust_t2_ns,flutter_t3_ns,native_to_rust_entry_ns,rust_processing_ns,rust_exit_to_flutter_ns,total_ns,engine_event_count
54,false,0,9,38,45,144220997318800,144220997458200,144220997460600,144220997463100,139400,2400,2500,144300,1
55,false,0,9,38,46,144221279946400,144221281147200,144221281150500,144221281154100,1200800,3300,3600,1207700,1
56,false,0,9,48,92,144221559646600,144221559783100,144221559785000,144221559788100,136500,1900,3100,141500,1
57,false,0,9,48,59,144221803981200,144221804111100,144221804113100,144221804115100,129900,2000,2000,133900,1
58,false,0,9,38,43,144222073130100,144222073645400,144222073647600,144222073650100,515300,2200,2500,520000,1
59,false,0,9,45,79,144222327209300,144222327345500,144222327348000,144222327350100,136200,2500,2100,140800,1
60,false,0,9,45,61,144222579643200,144222579772500,144222579774700,144222579777100,129300,2200,2400,133900,1
61,false,0,9,38,36,144222837986100,144222838800400,144222838809700,144222838823100,814300,9300,13400,837000,1
62,false,0,9,43,67,144223123740700,144223123879100,144223123881100,144223123884100,138400,2000,3000,143400,1
63,false,0,9,43,93,144223360216000,144223360394700,144223360396800,144223360399100,178700,2100,2300,183100,1
64,false,0,9,38,42,144223617464200,144223617855300,144223617857400,144223617860100,391100,2100,2700,395900,1
65,false,0,9,38,7,144223719498700,144223719634400,144223719636400,144223719639100,135700,2000,2700,140400,1
66,false,0,9,38,30,144223929374800,144223929564600,144223929566900,144223929569100,189800,2300,2200,194300,1
67,false,0,9,38,39,144224130841100,144224130975200,144224130977500,144224130980100,134100,2300,2600,139000,1
68,false,0,9,38,34,144224388975000,144224389160700,144224389162600,144224389165100,185700,1900,2500,190100,1
69,false,0,9,50,36,144224666295200,144224666628200,144224666630300,144224666633100,333000,2100,2800,337900,1
70,false,0,9,48,46,144224915796500,144224915948600,144224915950800,144224915953100,152100,2200,2300,156600,1
71,false,0,9,38,39,144225184652100,144225184789600,144225184791600,144225184794100,137500,2000,2500,142000,1
72,false,0,9,45,51,144225428836100,144225428959400,144225428961600,144225428964100,123300,2200,2500,128000,1
73,false,0,9,45,58,144225659783100,144225660054700,144225660057300,144225660060100,271600,2600,2800,277000,1
74,false,0,9,38,43,144225924611900,144225924794200,144225924796300,144225924798100,182300,2100,1800,186200,1
75,false,0,9,43,49,144226186430100,144226186573500,144226186575900,144226186578100,143400,2400,2200,148000,1
76,false,0,9,43,52,144226437175500,144226437316100,144226437318000,144226437320100,140600,1900,2100,144600,1
77,false,0,9,38,40,144226686179700,144226686327100,144226686329300,144226686332100,147400,2200,2800,152400,1
78,false,0,9,38,38,144226948752500,144226948919700,144226948921700,144226948924100,167200,2000,2400,171600,1
79,false,0,9,38,36,144227185851900,144227186033800,144227186035800,144227186038100,181900,2000,2300,186200,1
80,false,0,9,38,48,144227451496200,144227451663100,144227451665800,144227451669100,166900,2700,3300,172900,1
81,false,0,9,48,62,144227725923100,144227726087300,144227726089700,144227726092100,164200,2400,2400,169000,1
82,false,0,9,48,57,144227970203200,144227970369200,144227970372200,144227970375100,166000,3000,2900,171900,1
83,false,0,9,38,49,144228236921400,144228237122900,144228237126000,144228237130100,201500,3100,4100,208700,1
84,false,0,9,45,61,144228483513100,144228483679600,144228483681800,144228483684100,166500,2200,2300,171000,1
85,false,0,9,45,58,144228744135100,144228744274200,144228744276400,144228744279100,139100,2200,2700,144000,1
86,false,0,9,40,70,144229020348000,144229020486600,144229020488800,144229020491100,138600,2200,2300,143100,1
